model,year,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,seating_capacity,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,annual_sales_units,customer_rating,warranty_years,range_efficiency,price_per_range_mile,power_to_weight,torque_to_weight,battery_to_weight,vehicle_age,drive_type_FWD,drive_type_RWD,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Truck,body_type_Van,country_of_origin_Germany,country_of_origin_Japan,country_of_origin_South Korea,country_of_origin_Sweden,country_of_origin_US,market_segment_Luxury,market_segment_Mid-range,market_segment_Premium,brand_BMW,brand_BYD,brand_Fisker,brand_Ford,brand_GM/Chevrolet,brand_Honda,brand_Hyundai,brand_Kia,brand_Lucid,brand_Mercedes,brand_NIO,brand_Polestar,brand_Porsche,brand_Rivian,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Xiaomi,variant_Long Range,variant_Performance,variant_Premium,variant_Standard
Cybertruck,2023,70531.96,70.5,256.0,281.7,5.5,165.0,507.0,445.0,7,72.0,2290.0,5,2,209622,3.6,4,3.631205673758865,275.51546875,0.22139737991266376,0.1943231441048035,0.030786026200873364,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Yuan Plus,2024,114839.62,76.6,293.0,185.3,3.42,200.0,1000.0,902.0,5,68.0,1978.0,5,0,229532,3.41,4,3.825065274151436,391.9440955631399,0.5055611729019212,0.45601617795753285,0.03872598584428716,2,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ID.5,2024,51142.17,101.7,359.0,99.2,5.15,161.0,493.0,434.0,5,26.9,1500.0,4,0,203079,3.64,5,3.5299901671583087,142.45729805013926,0.32866666666666666,0.28933333333333333,0.0678,2,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
ID. Aero,2026,59824.88,70.9,263.0,63.4,5.9,167.0,618.0,540.0,5,34.8,1781.0,3,0,293709,3.28,5,3.709449929478138,227.47102661596958,0.34699606962380686,0.30320044918585065,0.03980909601347558,0,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Mustang Mach-E,2025,96527.54,75.2,286.0,178.0,3.87,188.0,1000.0,924.0,7,38.9,1500.0,3,1,67670,3.6,4,3.803191489361702,337.5088811188811,0.6666666666666666,0.616,0.050133333333333335,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model X,2023,67772.81,53.3,175.0,320.5,7.79,128.0,501.0,445.0,5,28.7,1539.0,5,2,207968,3.36,6,3.283302063789869,387.2732,0.3255360623781676,0.28914879792072773,0.034632878492527615,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Ioniq 6,2025,86045.75,96.3,314.0,180.3,3.08,200.0,1000.0,905.0,7,27.4,1500.0,5,0,124864,3.57,4,3.260643821391485,274.031050955414,0.6666666666666666,0.6033333333333334,0.0642,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EV9,2024,66876.75,66.7,236.0,96.7,6.02,164.0,754.0,647.0,5,66.8,1980.0,4,2,117514,3.53,3,3.538230884557721,283.3760593220339,0.3808080808080808,0.32676767676767676,0.03368686868686869,2,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model Y,2025,135780.6,105.2,383.0,344.9,4.02,196.0,997.0,903.0,5,69.0,2015.0,5,2,411097,4.12,5,3.640684410646388,354.51853785900784,0.4947890818858561,0.4481389578163772,0.05220843672456576,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Niro EV,2024,105946.66,79.3,245.0,222.0,3.24,200.0,1000.0,919.0,7,15.9,1701.0,4,1,147459,3.43,3,3.08953341740227,432.4353469387755,0.5878894767783657,0.540270429159318,0.046619635508524396,2,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model X,2025,110771.86,52.9,177.0,216.7,6.55,151.0,826.0,728.0,5,35.7,1959.0,4,2,179640,3.42,5,3.3459357277882797,625.8297175141242,0.4216436957631445,0.3716181725370087,0.02700357325165901,1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cybertruck,2024,42827.24,89.9,311.0,240.1,2.94,200.0,263.0,241.0,5,55.5,2122.0,4,3,133489,3.82,5,3.4593993325917682,137.70816720257235,0.1239396795475966,0.11357210179076344,0.042365692742695575,2,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
bZ Compact SUV,2020,70748.34,94.2,335.0,104.7,5.66,169.0,818.0,760.0,5,66.5,2056.0,5,0,2261,3.72,4,3.5562632696390657,211.18907462686565,0.3978599221789883,0.36964980544747084,0.0458171206225681,6,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Ronin,2026,50395.94,63.9,243.0,106.1,7.33,147.0,334.0,275.0,7,34.5,1500.0,5,1,11950,3.48,4,3.802816901408451,207.3906995884774,0.22266666666666668,0.18333333333333332,0.0426,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E-Transit,2025,69597.51,106.2,361.0,219.0,3.88,192.0,783.0,728.0,5,38.9,1500.0,5,1,24574,3.79,3,3.39924670433145,192.79088642659278,0.522,0.48533333333333334,0.0708,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Leaf 50X,2025,31434.26,60.6,229.0,98.1,7.69,136.0,285.0,269.0,5,31.5,1643.0,4,0,242953,3.29,4,3.778877887788779,137.26751091703056,0.17346317711503348,0.16372489348752284,0.036883749239196593,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model X,2023,109503.65,47.9,155.0,304.7,6.19,164.0,825.0,733.0,5,72.8,1500.0,5,3,174834,3.59,4,3.2359081419624216,706.4751612903225,0.55,0.4886666666666667,0.031933333333333334,3,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
i7,2025,156773.89,81.4,266.0,182.2,4.2,190.0,1000.0,908.0,5,76.8,2499.0,5,1,58126,3.6,5,3.2678132678132674,589.3755263157896,0.4001600640256102,0.3633453381352541,0.03257302921168467,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ID.3,2021,52966.98,96.8,311.0,134.7,5.8,171.0,460.0,436.0,5,20.6,1853.0,5,0,232633,3.55,5,3.212809917355372,170.31183279742766,0.248246087425796,0.23529411764705882,0.052239611440906636,5,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Cybertruck,2024,121805.3,58.9,204.0,274.6,5.61,173.0,850.0,776.0,7,56.2,2502.0,4,3,225373,3.75,5,3.4634974533106964,597.0848039215687,0.33972821742605913,0.3101518784972022,0.023541167066346923,2,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Ioniq 6,2025,69769.46,63.2,212.0,79.0,7.79,133.0,890.0,734.0,5,28.1,1500.0,4,0,50147,3.21,4,3.354430379746835,329.10122641509435,0.5933333333333334,0.48933333333333334,0.042133333333333335,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model X,2024,117517.98,101.0,350.0,245.4,4.65,186.0,881.0,810.0,5,80.0,2225.0,5,2,122440,3.96,5,3.4653465346534653,335.76565714285715,0.3959550561797753,0.36404494382022473,0.045393258426966294,2,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
e-tron GT,2025,53762.11,52.1,156.0,112.8,6.45,154.0,207.0,200.0,5,17.6,1899.0,4,2,69650,3.68,7,2.9942418426103647,344.6289102564103,0.10900473933649289,0.105318588730911,0.027435492364402316,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Max,2024,24029.61,45.6,153.0,53.1,5.16,177.0,211.0,200.0,5,32.5,1669.0,5,0,157077,3.46,3,3.3552631578947367,157.05627450980393,0.12642300778909527,0.11983223487118035,0.02732174955062912,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i3,2024,120387.4,79.4,285.0,134.3,4.2,193.0,1000.0,988.0,5,62.9,2464.0,4,2,62864,3.27,8,3.5894206549118386,422.41192982456135,0.40584415584415584,0.400974025974026,0.032224025974025974,2,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Atto 3,2025,26682.38,53.9,199.0,117.3,7.39,137.0,274.0,206.0,7,68.8,2367.0,4,0,158602,3.26,3,3.692022263450835,134.08231155778896,0.11575834389522602,0.08702999577524292,0.022771440642163077,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ioniq,2025,45100.09,79.5,257.0,85.6,5.25,174.0,478.0,396.0,5,39.6,1705.0,4,1,128526,3.61,4,3.2327044025157234,175.48673151750972,0.28035190615835776,0.23225806451612904,0.046627565982404695,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sportage EV,2023,77484.79,81.2,284.0,147.7,5.31,169.0,923.0,832.0,5,55.4,2017.0,3,1,101678,3.34,4,3.497536945812808,272.8337676056338,0.45761031234506694,0.41249380267724345,0.04025780862667328,3,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model Y,2023,98108.77,46.5,150.0,338.8,5.21,174.0,760.0,665.0,5,44.4,2146.0,5,2,431290,3.33,4,3.225806451612903,654.0584666666667,0.35414725069897485,0.30987884436160296,0.021668219944082013,3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Ronin,2020,143106.79,75.3,272.0,170.3,3.68,197.0,1000.0,935.0,5,38.4,1705.0,4,1,18708,3.53,4,3.612217795484728,526.1279044117647,0.5865102639296188,0.5483870967741935,0.04416422287390029,6,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
F-150 Lightning,2026,52266.72,73.4,268.0,58.4,7.42,137.0,514.0,472.0,2,50.3,2850.0,5,0,62843,3.72,3,3.651226158038147,195.0250746268657,0.18035087719298246,0.1656140350877193,0.025754385964912283,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ET6,2025,60624.73,82.4,278.0,174.8,2.63,200.0,476.0,420.0,7,48.0,2138.0,4,0,8857,3.49,4,3.37378640776699,218.07456834532374,0.2226379794200187,0.19644527595884004,0.038540692235734336,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
e-tron GT,2025,63332.23,84.4,310.0,92.7,5.62,162.0,284.0,288.0,7,31.7,1565.0,5,1,62327,3.85,6,3.672985781990521,204.29751612903226,0.18146964856230033,0.1840255591054313,0.0539297124600639,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sportage EV,2024,95244.75,77.2,262.0,94.4,4.04,194.0,1000.0,842.0,5,67.4,2045.0,4,1,76023,3.44,3,3.393782383419689,363.52958015267177,0.4889975550122249,0.4117359413202934,0.03775061124694377,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
R3,2024,66816.36,69.9,247.0,118.5,5.33,171.0,150.0,200.0,5,23.9,1757.0,5,0,27456,3.39,6,3.533619456366237,270.51157894736843,0.08537279453614115,0.11383039271485487,0.03978372225384178,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Model X,2025,73015.63,82.4,304.0,275.5,5.58,156.0,528.0,501.0,7,62.4,2036.0,5,2,173406,3.75,5,3.6893203883495143,240.18299342105266,0.2593320235756385,0.24607072691552062,0.040471512770137524,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cybertruck,2025,117415.98,78.1,263.0,215.8,2.94,200.0,927.0,847.0,5,61.7,2353.0,5,2,183531,3.7,5,3.367477592829706,446.44859315589355,0.39396515087122824,0.35996600084997876,0.03319167020824479,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Model 3,2025,71316.86,73.9,249.0,282.0,6.73,144.0,502.0,509.0,5,52.9,2053.0,5,3,242716,3.7,5,3.3694181326116373,286.4130923694779,0.24452021432050658,0.24792985874330248,0.03599610326351681,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Leaf 50X,2025,59005.52,58.4,200.0,121.5,7.64,137.0,667.0,633.0,5,76.9,1500.0,5,0,127516,3.31,5,3.4246575342465753,295.0276,0.44466666666666665,0.422,0.038933333333333334,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID. Aero,2024,42431.05,88.6,306.0,104.2,5.94,166.0,337.0,286.0,5,39.7,1590.0,3,1,260840,3.53,4,3.45372460496614,138.66356209150328,0.2119496855345912,0.17987421383647798,0.05572327044025157,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Dolphin,2024,30671.06,87.5,303.0,233.1,4.18,190.0,345.0,269.0,5,29.5,1815.0,5,0,201621,3.28,4,3.462857142857143,101.2246204620462,0.19008264462809918,0.14820936639118457,0.048209366391184574,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EQC,2025,188302.14,78.5,277.0,225.0,4.32,185.0,1000.0,943.0,7,28.5,1500.0,4,2,43172,4.0,7,3.5286624203821657,679.791119133574,0.6666666666666666,0.6286666666666667,0.052333333333333336,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ID.4,2023,94330.19,105.4,383.0,105.8,5.17,177.0,1000.0,868.0,7,21.8,1500.0,5,1,232451,3.95,3,3.633776091081594,246.29292428198434,0.6666666666666666,0.5786666666666667,0.07026666666666667,3,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Dolphin,2024,83518.44,77.1,267.0,148.3,7.36,146.0,954.0,884.0,5,21.5,1652.0,3,1,148454,3.28,5,3.463035019455253,312.80314606741575,0.5774818401937046,0.5351089588377724,0.04667070217917675,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Niro EV,2024,68436.66,70.0,249.0,131.3,7.12,141.0,790.0,742.0,5,23.0,1556.0,3,0,81219,3.63,3,3.557142857142857,274.8460240963856,0.5077120822622108,0.4768637532133676,0.04498714652956298,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model Y,2025,43196.41,111.9,408.0,293.7,4.23,197.0,338.0,357.0,7,70.3,2547.0,5,3,437912,4.03,5,3.646112600536193,105.87355392156864,0.13270514330585,0.14016489988221437,0.04393404004711426,1,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Explorer EV,2024,66402.61,90.5,334.0,96.1,5.88,162.0,752.0,677.0,5,67.5,1894.0,5,1,36517,3.69,3,3.6906077348066297,198.81020958083832,0.39704329461457233,0.35744456177402323,0.04778247096092925,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Model X,2024,42932.18,99.0,356.0,209.1,3.87,192.0,227.0,200.0,7,27.2,1500.0,5,2,238196,4.0,5,3.595959595959596,120.59601123595506,0.15133333333333332,0.13333333333333333,0.066,2,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
